id_jugador,nombre,apellido,edad,fecha_nacimiento,lugar_nacimiento,pais_nacimiento,nacionalidad,altura,peso,lesionado,foto,id_equipo,nombre_equipo,logo_equipo,id_liga,nombre_liga,pais_liga,logo_liga,temporada,posicion,partidos_jugados,partidos_titular,minutos_jugados,rating,capitan,goles_total,goles_concedidos,asistencias,salvadas,pases_total,pases_key,pases_precision,tiros_total,tiros_al_arco,goles_pie_izq,goles_pie_der,goles_cabeza,goles_otros,tarjetas_amarillas,tarjetas_rojas,tarjetas_doble_amarilla,penales_anotados,penales_fallados,penales_atajados,regates_intentos,regates_exitosos,regates_fallidos,duelos_total,duelos_ganados,faltas_cometidas,faltas_recibidas
265969,C. Romero,Romero Jiménez,23,2001-06-21,Mahates,Colombia,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,241,Copa Colombia,Colombia,https://media.api-sports.io/football/leagues/241.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
265969,C. Romero,Romero Jiménez,23,2001-06-21,Mahates,Colombia,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
265969,C. Romero,Romero Jiménez,23,2001-06-21,Mahates,Colombia,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
265969,C. Romero,Romero Jiménez,23,2001-06-21,Mahates,Colombia,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
345748,A. Gómez,Gómez Hinestroza,23,2002-09-12,Quibdó,Colombia,Colombia,171 cm,61 kg,False,https://media.api-sports.io/football/players/345748.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Attacker,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
345748,A. Gómez,Gómez Hinestroza,23,2002-09-12,Quibdó,Colombia,Colombia,171 cm,61 kg,False,https://media.api-sports.io/football/players/345748.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Attacker,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
354023,K. Cortés,Cortés Díaz,20,2003-08-06,Villa Rica,Colombia,Colombia,175 cm,60 kg,False,https://media.api-sports.io/football/players/354023.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Midfielder,0,0.0,6.0,6.700000,False,0.0,0.0,,,2.0,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,4.0,3.0,,1.0
354064,J. González,González Morán,21,2003-03-11,Nariño,Colombia,Colombia,189 cm,81 kg,False,https://media.api-sports.io/football/players/354064.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
354064,J. González,González Morán,21,2003-03-11,Nariño,Colombia,Colombia,189 cm,81 kg,False,https://media.api-sports.io/football/players/354064.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
405539,J. Torres,Torres Henríquez,24,2001-03-31,Barranquilla,Colombia,Colombia,168 cm,63 kg,False,https://media.api-sports.io/football/players/405539.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Midfielder,0,3.0,203.0,6.428571,False,0.0,0.0,,,106.0,2.0,,5.0,1.0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,,4.0,1.0,,22.0,5.0,3.0,2.0
